Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Pakistan,PAK,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.955825,..,8.8525,7.03927,7.886005,9.2975,..,7.7675005
Pakistan,PAK,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.71253333333333,6.08316888888889,5.28818333333333,3.24186416666667,2.6960175,2.910555,2.11847208333333,2.13861108333333
Pakistan,PAK,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.75144668429113,7.38229064271826,6.98316925510985,6.29532787457238,5.81607008497907,5.84082282899512,5.94288777932888,5.79145205010607,5.13999075401632,4.94090382626975,..
Pakistan,PAK,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.0585093271733,16.3048754851225,15.1325609780033,14.6754815282958,13.2174289502883,11.4802406237951,11.0843232102216,8.6381320265614,9.05221868161815,9.68160351921997,11.6512100418024,12.8470210142089,12.8857569316802,8.72519058144832,11.430772321998,13.2349491754631,12.6463136996552,12.4273856657343,15.4665553911601,14.7996701210922,14.5092857047944,11.779052796723,21.9823335764182
Pakistan,PAK,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.9868868262001,12.265792482412,11.3588840793988,10.055842933819,8.42948949057021,7.97371472046651,8.58202379960379,9.18579121790452,7.88790949084099,6.5448477708157,..
Pakistan,PAK,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.0135169116845,29.4867040152358,29.5300833905855,27.0409268095559,25.2904748208434,24.6120130321689,23.903585467139,22.9348949984652,22.5316437062461,24.2103319906329,24.5466451201422,25.0050875656892,26.0307839818636,25.3192801327387,24.8887500435743,25.3700502423412,24.8324967045351,21.8298304558096
Pakistan,PAK,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,40.618348829394,35.5085912405037,37.0104750304507,40.2480500634863,43.4898733155814,42.7058615193908,46.7449750352068,42.4278399819952,44.2858261959474,44.9348230912477,43.4589851521434,46.4844165304877,50.7274157262268,46.7643572571564,35.3934076411432,33.9958446884865,38.3290632383173,39.3562518364185,40.0543287170937,43.1559910730318,41.5586367693089,39.0147953241599,40.792481467428,43.87686717693,39.8550507143844,40.6612842762047,43.3097066849098,45.3110594449753,41.3654205206185,38.9809612274195,39.1371037557407,39.041064079953,42.5300049117333,45.3647021643092,45.4102957414578,43.5708459410415,46.0412900268044,48.2032374752503,47.1502313964154,44.8202563386139,28.6895037123433,29.8765629925912,32.9585711899888,35.5893433024332,36.5879118313579,37.6011583909744,47.8020865795712,48.7159412383176,45.8138779202502,46.339153856902,47.2954352374351,44.5540838769731,46.1863468466881,46.6987110926231,46.6655502926414,48.0947897059567,50.8043096148012,51.4077109638097,51.2232935528021,51.1835848516191,54.5263893717141,51.2623868410964,46.1226561682612,42.5717384302316
Pakistan,PAK,Broad money (current LCU),FM.LBL.BMNY.CN,7252000000,6964300000,7596400000,8875500000,10779400000,12058000000,14605000000,15081400000,16959700000,18580100000,20752100000,23609900000,27734200000,31562200000,31182300000,37797600000,49967300000,58935200000,70629400000,84117500000,97321600000,108537600000,132232500000,159881600000,167312300000,191985100000,222842300000,259396300000,279377500000,300054000000,334991300000,398453100000,515202100000,608626000000,714348000000,812998000000,976155000000,1170525000000,1262521000000,1316989000000,1476676000000,1689764000000,1987440400000,2342356400000,2784954000000,3240931000000,4631578000000,5439249000000,5794143796000,6814495817363.99,7807082726900,8790979839286.22,10320172533548,11694370341859.6,13044335106623.4,14633262962941.4,16625735215555.4,18276890431006.4,20074311419085.4,22417591739487.4,25922068520245.4,28622981656965,30744379266733.4,35741282651837.1
Pakistan,PAK,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,-3.96718146718147,9.07628907427882,16.8382391659207,21.4511858486846,11.8615136278457,21.122905954553,3.26189661074974,12.4544140464413,9.55441428798858,11.6899263190187,13.7711364151098,17.4685195617093,13.8024532887193,-1.20365500503767,21.2149200026938,32.197017800072,17.947537689649,19.8424710529531,19.0970049299583,15.6972092608554,11.524676947358,21.8310520962321,20.909458718545,4.64762674379041,14.7465547960311,16.0727056422608,16.4035284144886,7.70296260972111,7.4009181125896,11.6436708059216,18.9443128821554,29.3005626007176,18.1334470492259,17.3706019788836,13.8097957858075,20.0685610542707,19.9117967945664,7.85937933833109,4.31422526833217,12.1251582207596,14.4302473934702,17.6164482140701,17.8579443187328,18.8953995216099,16.3728736632634,42.9088740241616,17.4383547032998,6.52470214178465,17.6100569348726,14.5658158158496,12.6026218346081,17.3950199206229,13.315647619693,11.5437148414194,12.1809800448258,13.6160489814194,9.93132149672482,9.83439165904122,11.6730296321604,15.6327085508701,10.4193580639993,7.41151860135504,16.25306317539
Pakistan,PAK,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.65145617390181,5.59686156248347,5.92317949080969,6.05465493169378,8.90397897007812,10.9927838119404,14.71309394419,19.1377465668823,13.7833415548524,11.7192995552401,22.4020064302759,24.9769807500649,14.7499013522292,5.05719715905246,4.57475349027781,6.78147803794742,7.37743550176368,8.31777976638695,8.96332461477636,7.42689381904066,6.2703442432067,7.53330574662431,6.91419002289867,4.69243634409825,7.70949946566334,8.85938186742747,9.4311468851125,10.4883136482572,13.3432451135781,12.0246648297378,14.9641434353258,14.6029926537585,13.6440345970031,11.7785479160724,6.39066813765268,10.4526959808588,22.2976936516569,16.7704992073196,18.0378179521707,13.329615419551,13.6748464353825,6.88071683607587,3.66926400814884,3.38471255102604,4.5133720712052,4.91478424377641,6.00852369090437,5.67828681089983,10.2656510348898,6.38026940375804,5.39157336409799,5.8049592829978,8.43886777352845,15.7868889219586,8.85213743005421,7.20330717945598,7.23353965905769,9.44836970775528,15.4108167065087,9.90308181035647,8.84427098255482,7.83191692789514,17.4188128036671,10.4771622397162
